Station,Country,County,TOC,Visited,Latitude,Longitude,Date
Finsbury Park,England,London (City Of),GTR,yes,51.5643002449157,-0.106284978884699,
Finstock,England,Oxfordshire,Great Western Railway,No,51.852782857678,-1.4693431033147,
Fishbourne,England,West Sussex,GTR,No,50.839050994238,-0.815084252072113,
Fishersgate,England,West Sussex,GTR,No,50.8342331969519,-0.219423238635621,
Fishguard & Goodwick,Wales,Sir Benfro - Pembrokeshire,Transport for Wales,No,52.0041205147366,-4.99483911549407,
Fishguard Harbour,Wales,Sir Benfro - Pembrokeshire,Transport for Wales,No,52.0115490590944,-4.98564336378428,
Fiskerton,England,Nottinghamshire,East Midlands Trains,No,53.060273739149,-0.912187610219373,
Fitzwilliam,England,West Yorkshire,Northern,No,53.6325012276325,-1.37427316573517,
Five Ways,England,West Midlands,West Midlands Trains,No,52.471096381369,-1.91295451976274,
Fleet ,England,Hampshire,South Western Railway,No,51.290634463196,-0.830805697283605,
Flimby,England,Cumbria,Northern,No,54.6896909968798,-3.5207407041013,
Flint,Wales,Sir y Fflint - Flintshire,Transport for Wales,No,53.249527518706,-3.13299365746619,
Flitwick,England,Bedfordshire,GTR,No,52.0036411879386,-0.495257873996204,
Flixton,England,Greater Manchester,Northern,No,53.443809978016,-2.38424675876937,
Flowery Field,England,Greater Manchester,Northern,No,53.4618562073799,-2.08105317397333,
Folkestone Central,England,Kent,Southeastern,No,51.0828838914415,1.16948226479176,
Folkestone West,England,Kent,Southeastern,No,51.084582896074,1.15390330754187,
Ford,England,West Sussex,GTR,No,50.8293930308604,-0.578410029818067,
Forest Gate,England,London (City Of),TfL Rail,No,51.5494301979489,0.0243528171904902,
Forest Hill,England,London (City Of),London Overground,No,51.4392784872536,-0.0531571058976325,
Formby,England,Merseyside,Merseyrail,No,53.5534804308434,-3.07090821445518,
Forres,Scotland,Moray,ScotRail,No,57.6098000095499,-3.62595038813861,
Forsinard,Scotland,Highland,ScotRail,No,58.3569037821129,-3.89688108603807,
Fort Matilda,Scotland,Inverclyde,ScotRail,No,55.9590370104671,-4.79526871008857,
Fort William,Scotland,Highland,ScotRail,No,56.8204504611118,-5.10614472047831,
Four Oaks,England,West Midlands,West Midlands Trains,No,52.5797812436274,-1.82803190041241,
Foxfield,England,Cumbria,Northern,No,54.2586714739313,-3.216062079698,
Foxton,England,Cambridgeshire,GTR,No,52.1192118267723,0.0563080918097999,
Frant,England,East Sussex,Southeastern,No,51.1040264976395,0.294543047861973,
Fratton,England,Hampshire,South Western Railway,No,50.7963389126627,-1.07398277385311,
Freshfield,England,Merseyside,Merseyrail,No,53.5660564604323,-3.07182995042112,
Freshford,England,Somerset,Great Western Railway,No,51.3420317090826,-2.30100872969826,
Frimley ,England,Surrey,South Western Railway,No,51.3118614892824,-0.746991364293745,
Frinton-on-Sea,England,Essex,Greater Anglia,No,51.8376787265319,1.24317054105804,
Frizinghall,England,West Yorkshire,Northern,No,53.820371215731,-1.76900125757173,
Frodsham,England,Cheshire,Transport for Wales,No,53.2958177869804,-2.72356723663145,
Frome,England,Somerset,Great Western Railway,No,51.2272725800456,-2.30999705913937,
Fulwell,England,London (City Of),South Western Railway,No,51.4339339825483,-0.349467607470903,
Furness Vale,England,Derbyshire,Northern,No,53.3487533587757,-1.98884482439185,
Furze Platt,England,Berkshire,Great Western Railway,No,51.5330197603371,-0.728472828364334,
Gainsborough Central,England,Lincolnshire,Northern,No,53.3995839522027,-0.769694112366499,
Gainsborough Lea Road,England,Lincolnshire,East Midlands Trains,No,53.3860887154294,-0.768579598023266,
Galashiels,Scotland,Scottish Borders,ScotRail,No,55.6183541299903,-2.80690093870811,
Garelochhead,Scotland,Argyll and Bute,ScotRail,No,56.0798700489652,-4.82571771685403,
Garforth,England,West Yorkshire,Northern,No,53.796578277864,-1.38230970941118,
Gargrave,England,North Yorkshire,Northern,No,53.9784181355008,-2.10517064216562,
Garrowhill,Scotland,Glasgow City,ScotRail,No,55.855243344443,-4.12946139753487,
Garscadden,Scotland,Glasgow City,ScotRail,No,55.887699912531,-4.36500554078304,
Garsdale,England,Cumbria,Northern,No,54.3214321652742,-2.32635383688291,
